JOBID	ST	WORKDIR	NAME	RESULT
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_644017-Ni4Mo1	icsd_644017-Ni4Mo1.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_624798-Rb1Co2Se2	icsd_624798-Rb1Co2Se2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_626896-Ti1Cr2Te4	icsd_626896-Ti1Cr2Te4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_92989-Zr2Ti2As2	icsd_92989-Zr2Ti2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610073-La1Co2As2	icsd_610073-La1Co2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_151160-Ce3Cu4Sn4	icsd_151160-Ce3Cu4Sn4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_151466-Hf4Ni2	icsd_151466-Hf4Ni2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_612436-Tm1Au4	icsd_612436-Tm1Au4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_36128-Ba2Cu3Br2O4	icsd_36128-Ba2Cu3Br2O4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_77962-Ge2Pt6	icsd_77962-Ge2Pt6.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_16585-Nb2As2	icsd_16585-Nb2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_646396-Tl1Ni2S2	icsd_646396-Tl1Ni2S2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_613310-Sm1Co2B2	icsd_613310-Sm1Co2B2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_9265-Na1N1O2	icsd_9265-Na1N1O2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610072-K1Co2As2	icsd_610072-K1Co2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_106846-Lu1Cu2Si2	icsd_106846-Lu1Cu2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_615069-Ni1B2W2	icsd_615069-Ni1B2W2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_635459-Sr1Ga4	icsd_635459-Sr1Ga4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_626849-Yb1Cr2Si2	icsd_626849-Yb1Cr2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_27040-Nb2As2	icsd_27040-Nb2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_608758-Nd1Al4	icsd_608758-Nd1Al4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_73067-Ba1Dy2Co1O5	icsd_73067-Ba1Dy2Co1O5.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_633560-Sm1Fe2Si2	icsd_633560-Sm1Fe2Si2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_65458-Cs4Mn2Se4	icsd_65458-Cs4Mn2Se4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_608769-Nd2Al1Ni2	icsd_608769-Nd2Al1Ni2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_609848-Ba1Co2As2	icsd_609848-Ba1Co2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_710015-Sm1Ge5	icsd_710015-Sm1Ge5.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_103999-Y1Ti2Ga4	icsd_103999-Y1Ti2Ga4.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_647793-Th1Si2Os2	icsd_647793-Th1Si2Os2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_87316-U2Ge2Se2	icsd_87316-U2Ge2Se2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_614233-Tm1Fe2B2	icsd_614233-Tm1Fe2B2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_643301-Mn2Pd6	icsd_643301-Mn2Pd6.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_29312-Ni3S3	icsd_29312-Ni3S3.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_411148-Nd2Ti2S2O5	icsd_411148-Nd2Ti2S2O5.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_610122-Sr1Co2As2	icsd_610122-Sr1Co2As2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_602113-Er1P2Ru2	icsd_602113-Er1P2Ru2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_632411-La1Fe2P2	icsd_632411-La1Fe2P2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_604945-Ce1Ag2Ge2	icsd_604945-Ce1Ag2Ge2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_8000-K2Cu2F6	icsd_8000-K2Cu2F6.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_418227-Dy1P2Pt8	icsd_418227-Dy1P2Pt8.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_646729-Sm1Ni2Sn2	icsd_646729-Sm1Ni2Sn2.sh	?
?	PD	/WORK/nscc-gz_sgao/matgen_dft/vasprun/running/stru/icsd_605976-Yb2Ag4	icsd_605976-Yb2Ag4.sh	?
